,Flight ID,Airline,Flight_Distance,Origin_Airport,Destination_Airport,Scheduled_Departure_Time,Day_of_Week,Month,Airplane_Type,Weather_Score,Previous_Flight_Delay_Minutes,Airline_Rating,Passenger_Load,Flight_Cancelled
0,7319483,Airline D,475,Airport 3,Airport 2,4,6,1,Type C,0.225122,5.0,2.151974,0.477202,0
1,4791965,Airline E,538,Airport 5,Airport 4,12,1,6,Type B,0.060346,68.0,1.600779,0.159718,1
2,2991718,Airline C,565,Airport 1,Airport 2,17,3,9,Type C,0.09392,18.0,4.406848,0.256803,0
3,4220106,Airline E,658,Airport 5,Airport 3,1,1,8,Type B,0.65675,13.0,0.998757,0.504077,1
4,2263008,Airline E,566,Airport 2,Airport 2,19,7,12,Type E,0.505211,4.0,3.806206,0.019638,0
5,9450813,Airline B,446,Airport 4,Airport 5,3,5,2,Type D,0.030072,5.0,2.228958,0.424126,0
6,3515052,Airline C,662,Airport 4,Airport 2,12,4,9,Type B,0.969662,50.0,4.992475,0.678061,1
7,5641104,Airline C,472,Airport 2,Airport 4,23,7,8,Type D,0.656046,12.0,3.056995,0.517755,0
8,5559237,Airline C,591,Airport 3,Airport 5,15,2,12,Type D,0.515469,38.0,0.720948,0.5981,1
9,6633214,Airline E,442,Airport 3,Airport 5,5,6,9,Type B,0.272724,2.0,2.097606,0.326618,0
10,9421450,Airline D,422,Airport 4,Airport 5,7,3,4,Type E,0.658099,30.0,0.331495,0.183076,1
11,2858209,Airline C,364,Airport 4,Airport 2,15,7,9,Type A,0.364168,76.0,1.428278,0.809741,1
12,6765292,Airline A,371,Airport 1,Airport 2,12,4,2,Type A,0.802494,8.888889,0.858292,1.018839,1
13,3779836,Airline B,452,Airport 3,Airport 2,22,3,1,Type D,0.682572,25.0,4.265883,0.510741,0
14,711596,Airline D,630,Airport 2,Airport 3,3,2,9,Type E,0.092744,80.89444549999997,4.389937,0.305041,1
15,517306,Airline B,526,Airport 3,Airport 5,1,6,10,Type E,0.909261,38.0,0.057786,0.511205,1
16,3553627,Airline D,336,Airport 1,Airport 5,8,5,8,Type C,0.486974,1.0,2.661393,0.878986,1
17,9978315,Airline E,583,Airport 4,Airport 4,17,7,7,Type E,0.392945,14.0,1.317719,0.691406,0
18,3344010,Airline A,499,Airport 4,Airport 3,16,7,8,Type D,0.955462,2.0,1.600465,0.858616,1
19,2149482,Airline A,651,Airport 1,Airport 2,7,7,12,Type A,0.538209,52.44444,0.054128,0.369427,1
20,1149015,Airline B,450,Airport 2,Airport 2,14,2,1,Type A,0.721221,19.33333,3.748729,0.711979,0
21,4072442,Airline E,409,Airport 4,Airport 4,8,3,9,Type C,0.655136,62.0,4.752949,0.653049,1
22,5741517,Airline D,662,Airport 5,Airport 2,16,3,12,Type B,0.16514,1.0,1.296335,0.571616,0
23,8837010,Airline A,600,Airport 1,Airport 2,22,2,10,Type A,1.091143,14.22222,0.854432,0.594253,1
24,5247488,Airline A,336,Airport 5,Airport 2,1,7,11,Type A,0.463604,3.0,1.03217,0.550978,1
25,4014844,Airline A,536,Airport 1,Airport 2,5,1,9,Type A,0.494783,7.111111,2.525122,0.95588,1
26,9444124,Airline C,336,Airport 1,Airport 2,4,2,12,Type B,0.919613,5.0,0.04678,0.915995,1
27,9163517,Airline B,595,Airport 4,Airport 2,16,6,11,Type C,0.529238,11.0,2.919311,0.11286,0
28,7223667,Airline D,388,Airport 3,Airport 3,1,6,9,Type C,0.705077,34.0,4.35382,0.568772,1
29,6593966,Airline D,374,Airport 5,Airport 4,17,5,6,Type A,0.846246,5.0,0.931536,0.918408,1
30,8069823,Airline C,638,Airport 2,Airport 5,9,2,4,Type B,0.235494,19.0,3.149976,0.13474,0
31,2948914,Airline D,541,Airport 4,Airport 4,9,4,2,Type A,0.169467,76.0,0.453241,0.412859,1
32,6611154,Airline D,573,Airport 2,Airport 2,5,6,11,Type E,0.068507,80.89444549999997,4.272926,0.08908,1
33,7813168,Airline A,451,Airport 4,Airport 5,11,6,4,Type C,0.897133,8.0,1.372146,0.113476,1
34,1520927,Airline C,491,Airport 3,Airport 4,16,6,7,Type D,0.200367,54.66667,4.943767,0.904111,1
35,9158995,Airline E,656,Airport 3,Airport 3,12,1,1,Type A,0.307754,9.0,4.810048,0.44618,0
36,70855,Airline C,532,Airport 3,Airport 2,19,4,9,Type E,0.285807,10.66667,3.86258,0.68874,0
37,2643614,Airline E,662,Airport 3,Airport 2,15,7,3,Type C,0.304588,63.0,2.684213,0.138914,1
